gen,min,max,mean,median,std,time
243,-36386.0,135.0,-713.77,135.0,2598.46,10.023102045059204
244,-43383.0,135.0,-718.65,135.0,2622.99,10.019328594207764
245,-39877.0,135.0,-697.66,135.0,2579.52,10.005250930786133
246,-48885.0,135.0,-693.77,135.0,2550.07,9.990586996078491
247,-40891.0,135.0,-695.54,135.0,2558.44,10.052706003189087
248,-39380.0,135.0,-707.96,135.0,2577.95,9.732522010803223
249,-37872.0,135.0,-697.49,135.0,2563.88,10.264019250869751
250,-37887.0,135.0,-686.25,135.0,2515.35,9.941160202026367
251,-40883.0,135.0,-705.9,135.0,2582.37,10.034507989883423
252,-39377.0,135.0,-704.22,135.0,2561.97,9.810419082641602
253,-36384.0,135.0,-699.42,135.0,2564.3,10.054941654205322
254,-36882.0,135.0,-690.23,135.0,2556.74,9.843622207641602
255,-33886.0,135.0,-691.56,135.0,2542.59,9.981727838516235
256,-38895.0,135.0,-681.67,135.0,2546.67,10.184138298034668
257,-39373.0,135.0,-687.36,135.0,2561.92,9.766300201416016
258,-43880.0,135.0,-687.99,135.0,2548.43,10.025893926620483
259,-38384.0,135.0,-684.48,135.0,2547.36,10.02914571762085
260,-45892.0,135.0,-675.76,135.0,2506.35,9.913745164871216
261,-47384.0,135.0,-666.65,135.0,2514.4,10.170957803726196
262,-43879.0,135.0,-674.48,135.0,2512.56,9.906667947769165
263,-46381.0,135.0,-658.33,135.0,2491.47,10.151705026626587
264,-33377.0,135.0,-658.54,135.0,2485.46,9.919032335281372
265,-46382.0,135.0,-654.6,135.0,2470.0,9.992823362350464
266,-41885.0,135.0,-662.07,135.0,2496.43,9.997567415237427
267,-41894.0,135.0,-649.48,135.0,2455.63,10.05646562576294
268,-37875.0,135.0,-659.55,135.0,2492.22,9.970657587051392
269,-39380.0,135.0,-651.55,135.0,2477.35,10.094624042510986
270,-44391.0,135.0,-639.04,135.0,2464.11,9.836568117141724
271,-36890.0,135.0,-654.11,135.0,2501.39,10.010314226150513
272,-45386.0,135.0,-640.96,135.0,2467.21,9.968103170394897
273,-40876.0,135.0,-644.12,135.0,2467.32,9.978861570358276
274,-41384.0,135.0,-642.76,135.0,2459.45,9.907375812530518
275,-41883.0,135.0,-621.13,135.0,2403.53,10.005182027816772
276,-37882.0,135.0,-634.45,135.0,2434.05,10.023274660110474
277,-41883.0,135.0,-641.18,135.0,2448.23,10.078994512557983
278,-38371.0,135.0,-643.53,135.0,2464.94,10.072485208511353
279,-37876.0,135.0,-630.1,135.0,2449.01,10.06739330291748
